dataset,minsup,algorithm,run_type,run_id,campaign_id,group,status,patterns,mining_s,wall_s,external_mem_mb,log_path
D50C20T20N2.5S8I6,30%,BIDE+,warmup,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,26.023,26.023,12376.205467224121,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,measured,3,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,26.09,26.09,12439.962646484375,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_run3_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,measured,2,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,25.433,25.433,8201.53500366211,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_run2_20260129_132539.log
D50C20T20N2.5S8I6,30%,BIDE+,measured,1,20260129_132539,D50C20T20N2.5S8I6_0.3_group,OK,271,25.188,25.188,8729.586158752441,logs_fig15/BIDE+_D50C20T20N2.5S8I6_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,23.313,23.313,463.7864532470703,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,23.836,23.836,435.59503173828125,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,23.772,23.772,462.5883483886719,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,TriBack-Clo,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,24.024,24.024,462.24717712402344,logs_fig15/TriBack-Clo-Java_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,52.169,52.169,9724.259147644043,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,51.413,51.413,8404.201034545898,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,53.942,53.942,8844.347259521484,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloSpan,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,51.181,51.181,7283.859878540039,logs_fig15/CloSpan_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,,,12812.539993286133,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,,,8027.550704956055,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,,,16480.500900268555,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,CloFast,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,,,9297.850364685059,logs_fig15/CloFast_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,warmup,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,127.381,127.381,21812.19416809082,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_runwarmup1_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,measured,3,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,124.217,124.217,21825.970237731934,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_run3_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,measured,2,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,127.637,127.637,22401.39429473877,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_run2_20260129_132539.log
D50C20T20N2.5S6I8,30%,ClaSP,measured,1,20260129_132539,D50C20T20N2.5S6I8_0.3_group,OK,264,124.838,124.838,16180.900840759277,logs_fig15/ClaSP_D50C20T20N2.5S6I8_0.3_run1_20260129_132539.log
