campaign_id,dataset,minsup,algorithm,group,n_measured,n_ok,status_summary,patterns,count_consistent,output_equivalent,comparison_eligible,wall_min_s,wall_median_s,wall_max_s,wall_range_pct,mem_min_mb,mem_median_mb,mem_max_mb,mem_range_pct
20260127_184657,D100C20T20N2.5S6I4,40%,TriBack-Clo,D100C20T20N2.5S6I4_0.4_group,3,3,3/3 OK,111,True,True,True,23.506,23.649,23.817,1.3150661761596683,983.5533981323242,1039.744369506836,1041.1820831298828,5.542582069945964
20260112_221617,D10C20,40%,BIDE+,D10C20_0.4_group,3,3,3/3 OK,18,True,True,True,0.709,0.714,0.72,1.5406162464986008,801.4335403442383,801.4335403442383,801.4335403442383,0.0
20260112_221617,D10C20,40%,ClaSP,D10C20_0.4_group,3,3,3/3 OK,18,True,True,True,0.205,0.206,0.208,1.4563106796116518,1983.511619567871,1985.2117004394531,1987.747673034668,0.21338044027542089
20260112_221617,D10C20,40%,CloFast,D10C20_0.4_group,3,3,3/3 OK,18,True,True,False,,,,,8261.493423461914,11545.471855163574,12864.803047180176,39.87112593981585
20260112_221617,D10C20,40%,CloSpan,D10C20_0.4_group,3,3,3/3 OK,18,True,True,True,0.25,0.261,0.263,4.980842911877399,316.7577209472656,333.0422592163086,333.6046829223633,5.058505792850652
20260112_221617,D10C20,40%,TriBack-Clo,D10C20_0.4_group,3,3,3/3 OK,18,True,True,True,0.729,0.754,0.805,10.079575596816985,529.4335403442383,529.4335403442383,545.4335403442383,3.0220979180119154
20260112_221617,D10C30,40%,BIDE+,D10C30_0.4_group,3,3,3/3 OK,105,True,True,True,1.867,1.867,1.89,1.231922870915903,900.0305862426758,912.4110488891602,927.0792007446289,2.964520709704711
20260112_221617,D10C30,40%,ClaSP,D10C30_0.4_group,3,3,3/3 OK,105,True,True,True,5.973,6.07,6.118,2.388797364085675,3237.3967819213867,3357.7678756713867,3368.6391525268555,3.9086195194248443
20260112_221617,D10C30,40%,CloFast,D10C30_0.4_group,3,3,3/3 OK,105,True,True,False,,,,,3481.356155395508,5100.3754806518555,8498.535499572754,98.36882329957449
20260112_221617,D10C30,40%,CloSpan,D10C30_0.4_group,3,3,3/3 OK,105,True,True,True,3.406,3.448,3.741,9.715777262180973,173.37459564208984,173.6246109008789,191.2889633178711,10.317873475902815
20260112_221617,D10C30,40%,TriBack-Clo,D10C30_0.4_group,3,3,3/3 OK,105,True,True,True,3.198,3.245,3.267,2.126348228043142,769.4335403442383,785.4335403442383,785.4335403442383,2.0370915141957844
20260112_221617,D10C40,40%,BIDE+,D10C40_0.4_group,3,3,3/3 OK,254,True,True,True,8.649,8.716,8.753,1.1932078935291532,9752.107719421387,9879.25154876709,9939.04525756836,1.892223689458561
20260112_221617,D10C40,40%,ClaSP,D10C40_0.4_group,3,3,3/3 OK,254,True,True,True,36.905,37.192,37.218,0.8415788341578898,8433.866111755371,9027.873428344727,11912.097351074219,38.52769167540917
20260112_221617,D10C40,40%,CloFast,D10C40_0.4_group,3,3,3/3 OK,254,True,True,False,,,,,13350.085266113281,18701.728965759277,19891.329063415527,34.97667947855791
20260112_221617,D10C40,40%,CloSpan,D10C40_0.4_group,3,3,3/3 OK,254,True,True,True,17.51,17.574,18.047,3.0556503926254637,7937.902320861816,9250.813652038574,9266.723815917969,14.364374259807125
20260112_221617,D10C40,40%,TriBack-Clo,D10C40_0.4_group,3,3,3/3 OK,254,True,True,True,8.336,8.4,8.408,0.8571428571428473,285.89422607421875,286.40740966796875,286.8191909790039,0.3229542510291425
20260112_221617,D10C50,40%,BIDE+,D10C50_0.4_group,3,3,3/3 OK,792,True,True,True,56.381,56.773,57.238,1.5095203705986988,10105.202583312988,10109.000411987305,10130.815216064453,0.2533646424733869
20260112_221617,D10C50,40%,ClaSP,D10C50_0.4_group,3,3,3/3 OK,792,True,True,True,110.361,110.465,113.038,2.423392024623177,17216.614784240723,17248.860137939453,18229.624687194824,5.872909252281268
20260112_221617,D10C50,40%,CloFast,D10C50_0.4_group,3,3,3/3 OK,792,True,True,False,,,,,16192.090835571289,19496.005950927734,19953.68416595459,19.29417409828141
20260112_221617,D10C50,40%,CloSpan,D10C50_0.4_group,3,3,3/3 OK,792,True,True,True,62.41,64.323,65.717,5.141240302846575,295.581298828125,298.2225875854492,12185.25715637207,3986.8461855315422
20260112_221617,D10C50,40%,TriBack-Clo,D10C50_0.4_group,3,3,3/3 OK,792,True,True,True,29.75,29.75,29.855,0.3529411764705897,575.2212677001953,576.1342239379883,576.2179336547852,0.17299197186680565
